Symbol,Date,Trading-Sign,Last,Change,%Change,Open,High,Low,TR-Volume,TR-Value-(k),Total-Volume,Total-Value-(k),Bid-Size,Bid,Offer,Offer-Size,Sector,Volume,Value,Unnamed:-8,Unnamed:-9,Unnamed:-10,Unnamed:-11,Unnamed:-12,Unnamed:-13,Unnamed:-14,Unnamed:-15,Market,SET,Industry,-Property-&-Construction,Property-Fund-&-REITs,Unnamed:-6,Unnamed:-7,-Services,Transportation-&-Logistics,-Technology,Information-&-Communication-Technology
LST,2023-02-01,-,5.2,-0.05,-0.9523809523809523,5.2,5.2,5.2,0.0,0.0,46100.0,239.72,24100.0,5.2,5.25,26200.0,,,,,,,,,,,,,,,,,,,,,,
M,2023-02-01,-,57.0,0.0,0.0,57.25,57.5,56.75,0.0,0.0,851902.0,48591.065,133900.0,56.75,57.0,52700.0,,,,,,,,,,,,,,,,,,,,,,
MACO,2023-02-01,-,0.59,0.0,0.0,0.59,0.6,0.57,0.0,0.0,15284314.0,8930.60423,2763300.0,0.58,0.59,2670200.0,,,,,,,,,,,,,,,,,,,,,,
MAJOR,2023-02-01,-,18.7,-0.4,-2.094240837696335,19.2,19.2,18.6,0.0,0.0,2802390.0,52823.733100000005,274100.0,18.6,18.7,108200.0,,,,,,,,,,,,,,,,,,,,,,
MC,2023-02-01,-,11.6,-0.2,-1.694915254237288,11.8,11.9,11.5,0.0,0.0,958406.0,11139.5519,132700.0,11.5,11.6,35800.0,,,,,,,,,,,,,,,,,,,,,,
MCS,2023-02-01,-,9.9,-0.1,-1.0,10.0,10.1,9.9,0.0,0.0,454128.0,4526.265,259700.0,9.9,9.95,30600.0,,,,,,,,,,,,,,,,,,,,,,
MEGA,2023-02-01,-,51.75,0.0,0.0,51.5,52.25,51.5,0.0,0.0,1720088.0,89247.095,239400.0,51.75,52.0,465100.0,,,,,,,,,,,,,,,,,,,,,,
MFEC,2023-02-01,-,8.2,0.05,0.6134969325153374,8.2,8.2,8.15,0.0,0.0,331515.0,2703.3115,22900.0,8.15,8.2,63900.0,,,,,,,,,,,,,,,,,,,,,,
MICRO,2023-02-01,-,4.56,0.14,3.167420814479638,4.48,4.64,4.38,0.0,0.0,3993846.0,18066.71668,83000.0,4.54,4.56,19500.0,,,,,,,,,,,,,,,,,,,,,,
MILL,2023-02-01,-,0.82,0.0,0.0,0.81,0.83,0.81,0.0,0.0,17517878.0,14275.18775,495400.0,0.82,0.83,2662500.0,,,,,,,,,,,,,,,,,,,,,,
MINT,2023-02-01,-,33.75,0.5,1.5037593984962405,33.0,33.75,33.0,0.0,0.0,15004047.0,503004.5685,2353900.0,33.5,33.75,2194500.0,,,,,,,,,,,,,,,,,,,,,,
MSC,2023-02-01,-,9.65,0.0,0.0,9.65,9.65,9.6,0.0,0.0,57704.0,554.204,65600.0,9.6,9.65,11200.0,,,,,,,,,,,,,,,,,,,,,,
MTC,2023-02-01,-,39.0,0.5,1.2987012987012987,39.0,39.25,38.25,0.0,0.0,17160169.0,665459.42975,554200.0,39.0,39.25,867000.0,,,,,,,,,,,,,,,,,,,,,,
NCAP,2023-02-01,-,4.8,0.26,5.726872246696035,4.56,4.96,4.4,0.0,0.0,69632836.0,323425.59395999997,278800.0,4.78,4.8,409300.0,,,,,,,,,,,,,,,,,,,,,,
NER,2023-02-01,-,6.35,0.0,0.0,6.35,6.4,6.3,0.0,0.0,7677390.0,48736.109549999994,2020100.0,6.3,6.35,37500.0,,,,,,,,,,,,,,,,,,,,,,
NEX,2023-02-01,-,17.9,-0.1,-0.5555555555555556,18.0,18.2,17.8,0.0,0.0,5849205.0,105255.4663,9300.0,17.9,18.0,662600.0,,,,,,,,,,,,,,,,,,,,,,
NOBLE,2023-02-01,-,5.7,0.0,0.0,5.7,5.75,5.65,0.0,0.0,3297242.0,18764.286399999997,192000.0,5.65,5.7,117700.0,,,,,,,,,,,,,,,,,,,,,,
NRF,2023-02-01,-,6.1,0.1,1.6666666666666667,6.05,6.2,6.0,0.0,0.0,1980500.0,12076.635699999999,401700.0,6.05,6.1,178400.0,,,,,,,,,,,,,,,,,,,,,,
NSL,2023-02-01,-,22.9,-0.2,-0.8658008658008658,23.1,23.1,22.8,0.0,0.0,405544.0,9304.7376,34700.0,22.9,23.0,14600.0,,,,,,,,,,,,,,,,,,,,,,
NTV,2023-02-01,-,42.75,0.0,0.0,42.25,42.75,42.25,0.0,0.0,18701.0,798.99275,6000.0,42.5,42.75,20500.0,,,,,,,,,,,,,,,,,,,,,,
NUSA,2023-02-01,-,1.1,-0.01,-0.9009009009009009,1.12,1.12,1.1,0.0,0.0,5544073.0,6144.28759,6898000.0,1.1,1.11,287500.0,,,,,,,,,,,,,,,,,,,,,,
NVD,2023-02-01,-,1.99,0.01,0.5050505050505051,1.99,1.99,1.98,0.0,0.0,181612.0,360.70752000000005,146900.0,1.98,1.99,291100.0,,,,,,,,,,,,,,,,,,,,,,
NYT,2023-02-01,-,3.48,0.02,0.5780346820809249,3.44,3.48,3.42,0.0,0.0,486454.0,1677.2686,414700.0,3.44,3.48,109100.0,,,,,,,,,,,,,,,,,,,,,,
ONEE,2023-02-01,-,7.9,-0.05,-0.6289308176100629,7.95,8.0,7.9,0.0,0.0,2074690.0,16500.7865,699500.0,7.9,7.95,403900.0,,,,,,,,,,,,,,,,,,,,,,
OR,2023-02-01,-,22.5,0.2,0.8968609865470852,22.3,22.6,22.3,0.0,0.0,9920282.0,222590.8683,2412000.0,22.4,22.5,2319400.0,,,,,,,,,,,,,,,,,,,,,,
ORI,2023-02-01,-,12.0,-0.1,-0.8264462809917356,12.1,12.3,12.0,0.0,0.0,3077700.0,37411.5263,488100.0,12.0,12.1,427300.0,,,,,,,,,,,,,,,,,,,,,,
OSP,2023-02-01,-,28.25,0.0,0.0,28.75,28.75,28.0,0.0,0.0,3175611.0,90190.3735,3214300.0,28.0,28.25,801700.0,,,,,,,,,,,,,,,,,,,,,,
PF,2023-02-01,-,0.41,0.0,0.0,0.41,0.41,0.4,0.0,0.0,7991312.0,3206.92992,21209700.0,0.4,0.41,12985200.0,,,,,,,,,,,,,,,,,,,,,,
PLANB,2023-02-01,-,8.9,0.0,0.0,8.95,9.0,8.8,0.0,0.0,16510518.0,147159.27044999998,1288500.0,8.85,8.9,1174200.0,,,,,,,,,,,,,,,,,,,,,,
PLAT,2023-02-01,-,3.78,0.02,0.5319148936170213,3.8,3.84,3.76,0.0,0.0,492853.0,1867.07992,15900.0,3.78,3.8,66300.0,,,,,,,,,,,,,,,,,,,,,,
PLUS,2023-02-01,-,9.25,0.1,1.092896174863388,9.2,9.35,9.2,0.0,0.0,3055161.0,28374.1155,165800.0,9.25,9.3,206800.0,,,,,,,,,,,,,,,,,,,,,,
